Designator,Mid X,Mid Y,Rotation,Layer
J1,55.09,-181.625,0.0,top
J10,95.42,-34.686915,0.0,bottom
J11,86.63,-182.08,0.0,top
J12,42.59,-65.77,0.0,bottom
J13,42.59,-80.83,0.0,bottom
J14,96.77,-50.64,0.0,bottom
J15,96.77,-65.26,0.0,bottom
J16,96.98,-80.19,0.0,bottom
J17,90.44,-159.54,0.0,top
J2,49.66,-170.27,0.0,bottom
J3,90.24,-169.26,0.0,bottom
J4,55.55,-159.56,0.0,top
J5,102.99,-75.193085,180.0,top
J6,42.7,-51.24,0.0,bottom
J7,44.24,-31.77,0.0,bottom
J8,90.24,-145.09,0.0,bottom
J9,49.73,-145.16,0.0,bottom
R1,40.96,-62.122,0.0,top
R2,99.72,-30.312,0.0,top
R3,100.16,-61.492,0.0,top
R5,40.93,-30.682,0.0,top
